evid,orid,magid,magnitude,magtype,uncertainty,nsta,nobs,lat,lon,depth,datetime,erhor,erlat,erlon,sdep,gap,quality,ndef,nbs,nbfm,fdepth,fepi
61515916,3093218,3000363,0.23,d,0.1067956598209483,4,4,48.59316666666667,-123.08616666666667,13.97,1554505321.9399986,0.54,,,1.11,79,1,9,4,5,n,n
61515901,3093223,3000368,1.47,l,0.03135005243107103,3,5,48.596666666666664,-123.05533333333334,14.83,1554500937.9099998,0.79,,,1.58,91,1,11,5,5,n,n
61515342,3093048,3000063,1.6600000000000001,l,0.13132725539570955,12,24,47.54333333333334,-122.52066666666667,27.73,1553911439.579998,0.34,,,0.46,60,1,29,7,18,n,n
61515851,3093238,3000393,1.41,l,0.18907971064541962,5,8,48.5925,-123.0655,14.51,1554493459.5999985,1.19,,,2.09,82,0.75,13,6,4,n,n
61515856,3093243,3000403,1.71,l,0.24969656342851088,8,15,48.602666666666664,-123.07116666666667,13.41,1554493821.959999,0.58,,,1.4,84,1,26,10,9,n,n
61515602,3093113,3000178,1.04,l,0.1284713904255591,7,12,47.357166666666664,-122.39716666666666,17.03,1554183458.7699995,0.46,,,1.05,107,1,20,6,9,n,n
61515861,3093248,3000413,2.2,l,0.2287359256079231,14,31,48.6,-123.08,13.39,1554493959.9399996,0.31,,,0.79,82,1,35,10,19,n,n
61515866,3093253,3000423,1.1500000000000001,l,0.08504381064745281,3,4,48.5945,-123.0555,14.68,1554494051.0999985,0.73,,,1.36,90,1,11,5,6,n,n
61724412,3158858,3102998,1.21,l,0.27930675065757715,7,9,46.2455,-122.63916666666667,15.66,1621432902.7399998,0.32,,,0.62,72,1,21,5,9,n,n
61724387,3158863,3103008,1,l,0.0413733217501675,4,8,44.5675,-122.491,4.07,1621397479.8400002,0.64,,,1.87,89,1,17,7,8,n,n
61724392,3158878,3103028,0.9400000000000001,l,0.17562407269741842,3,6,47.476,-122.89133333333334,15.66,1621407495.5499992,0.64,,,0.84,82,1,13,8,4,n,n
61515871,3093258,3000433,1.3,l,0.149008153969596,3,5,48.5925,-123.053,16.78,1554494499.33,0.85,,,1.49,91,1,13,6,6,n,n
61515422,3093073,3000113,1.6500000000000001,l,0.14351806651090082,11,19,48.62583333333333,-122.3835,17.18,1554035352.0599976,0.45,,,1.15,81,1,33,14,7,n,n
61515876,3093263,3000443,2.48,l,0.1371234795693108,15,31,48.59916666666667,-123.08216666666667,13.24,1554494670.55,0.29,,,0.7,81,1,36,9,23,n,n
61516691,3093563,3000968,1.71,l,0.13386580650935298,6,13,48.602333333333334,-123.09316666666666,13.56,1554882017.459999,0.37,,,0.85,81,1,23,7,12,n,n
61515881,3093268,3000453,1.69,l,0.12113896560979998,6,10,48.598166666666664,-123.0685,13.99,1554497364.9799995,0.7,,,1.17,83,1,21,7,7,n,n
61515896,3093293,3000503,1.44,l,0.22353228405153036,5,9,48.59583333333333,-123.06483333333334,14.4,1554500690.5,0.57,,,1.16,85,1,20,7,9,n,n
61538891,3102288,3015493,1.23,l,0.14723067194946238,11,16,47.23233333333334,-122.08533333333334,8.11,1564001519.6499977,0.57,,,1.06,155,1,21,10,4,n,n
61537442,3103513,3017508,1.21,l,0.1709159665760045,3,4,47.852,-122.08233333333334,22.32,1563628031.040001,0.5,,,0.68,83,1,19,7,5,n,n
61535957,3101103,3013413,0.52,l,0.13760458302508322,4,8,46.0805,-122.424,18.38,1563079125.5599995,0.91,,,1.06,311,1,9,4,3,n,n
61516291,3093553,3000948,1.04,l,0.14660217171336942,9,11,46.341833333333334,-122.2415,11.1,1554803884.4399986,0.39,,,0.56,81,1,27,10,9,n,n
61516001,3093273,3000463,2.87,l,0.17206687402156273,21,47,48.60066666666667,-123.0795,13.16,1554526529.9399998,0.38,,,0.91,83,1,35,7,26,n,n
61500348,3093278,3000473,1.87,d,0.3228358138482753,4,4,48.5885,-123.073,15.26,1554526553.1800003,0.89,,,1.1,147,1,6,2,3,n,n
61500353,3093288,3000493,1.82,d,0.282925300978909,3,3,48.592166666666664,-123.07366666666667,14.64,1554526557.959999,0.52,,,0.85,202,1,6,3,3,n,n
61500358,3093298,3000513,0.21,d,0.054342755244414676,3,3,48.593333333333334,-123.07066666666667,14.5,1554500699.5999985,0.59,,,0.81,199,1,6,3,3,n,n
61516006,3093303,3000518,1.11,l,0.06102142419679524,5,8,48.598166666666664,-123.08333333333333,12.62,1554528414.0199986,0.39,,,0.89,81,1,14,6,6,n,n
61516011,3093313,3000538,1.17,l,0.10378174943032603,3,4,48.5985,-123.051,14.67,1554534286.6399994,0.57,,,1.22,94,1,15,5,8,n,n
61516036,3093318,3000548,1.42,l,0.06670616089063763,3,5,48.5885,-123.05866666666667,4.75,1554555598.3199997,2.35,,,22.34,207,0.5,9,2,5,y,n
61515996,3093323,3000558,1.77,l,0.09865854672599794,3,8,48.604166666666664,-123.06066666666666,4.75,1554526510.9099998,1.57,,,23.24,160,0.5,8,1,6,y,n
61516021,3093328,3000568,1.07,l,0.1387264977503,4,5,48.59616666666667,-123.0545,14.01,1554537749.07,0.45,,,0.94,91,1,10,5,5,n,n
61516031,3093333,3000578,0.85,l,0.2750635137688511,2,4,48.592333333333336,-123.05433333333333,14.38,1554550657.96,0.53,,,1.12,91,1,11,5,3,n,n
61516026,3093338,3000588,0.87,l,0.1006022868747612,3,4,48.593833333333336,-123.05066666666667,14.61,1554543493.9300003,0.57,,,1.13,94,1,11,4,3,n,n
61516126,3093358,3000618,1.78,l,0.11848598031748803,8,18,48.214333333333336,-123.3265,2.85,1554630622.949997,0.68,,,2.21,86,0.75,20,6,12,n,n
61516301,3093558,3000958,2.04,l,0.2039275054485099,14,23,46.17733333333334,-122.85466666666667,18.17,1554813920.7700005,0.35,,,0.67,101,1,30,6,20,n,n
61537247,3102128,3015203,1.04,l,0.07769186107265713,5,6,47.32483333333333,-122.36033333333333,22.75,1563532548.25,0.45,,,0.91,107,1,24,9,5,n,n
61516701,3093568,3000978,2.1,l,0.2766391255902443,12,23,47.52883333333333,-123.66283333333334,-0.69,1554890415.25,0.72,,,2.46,68,0.75,23,6,12,n,n
61516191,3093428,3000743,2.5500000000000003,l,0.16425288500749358,33,70,47.80166666666667,-122.38216666666666,26.61,1554728554.69,0.31,,,0.48,40,1,55,15,34,n,n
61538287,3101943,3014878,0.54,l,0.12276364711557841,9,14,46.051833333333335,-122.35516666666666,13.59,1563897972.7399979,0.89,,,1.26,305,1,13,4,5,n,n
61516196,3093388,3000678,0.36,d,0.11917567827895859,3,3,46.2605,-122.054,4.91,1554730515.8199997,1.5,,,14.95,250,0.5,7,3,0,y,n
61516116,3093413,3000713,1.3,l,0.20238812771361725,9,12,46.35333333333333,-122.39833333333333,5.84,1554620839.0200005,0.49,,,1.17,123,1,24,11,8,n,n
61594347,3123313,3048393,2.36,l,0.10882488696377557,15,33,45.15116666666667,-122.62083333333334,17.2,1586183234.709999,0.29,,,0.51,65,1,34,11,20,n,n
61516151,3093418,3000723,1.95,l,0.061465636218568154,9,19,48.651666666666664,-123.111,20.28,1554675831.9499989,0.41,,,0.84,93,1,27,9,10,n,n
61538432,3102143,3015233,0.65,l,0.2757353003831211,7,9,45.92216666666667,-122.08816666666667,7.97,1563930307.8199997,1.02,,,0.57,318,0.75,13,7,2,n,n
61516146,3093423,3000733,1.55,l,0.15769636283878619,9,16,48.61216666666667,-123.02133333333333,15.88,1554675714.9399986,0.54,,,0.89,92,1,23,8,10,n,n
61516211,3093438,3000753,1.28,l,0.14188625582768388,5,9,48.32333333333333,-123.43,22.74,1554741105.17,1.23,,,2.11,97,0.75,12,4,5,n,n
61724337,3158868,3103018,1.07,l,0.07454736671047257,7,11,46.236333333333334,-122.63383333333333,17,1621381845.1399994,0.34,,,0.8,119,1,26,11,9,n,n
61516796,3093498,3000848,0.25,l,0.049400323801119,3,4,46.29816666666667,-122.20433333333334,5.05,1554922178.6799994,1.81,,,1.05,274,0.75,7,3,2,n,n
61516831,3093503,3000858,0.88,l,0.10528353395832463,3,4,45.891,-122.18866666666666,14.39,1554931175.54,2.64,,,0.91,347,0.75,7,4,1,n,n
61516246,3093518,3000888,1.17,l,0.432169844171439,3,8,47.556666666666665,-122.76583333333333,11,1554768380.199997,1.11,,,0.53,222,0.75,10,5,4,n,n
61964021,3242843,3234218,1.51,l,0.08874131601859903,8,15,46.6505,-122.12,5.93,1696441381.7799988,0.77,,,1.87,206,1,23,7,4,n,n
61516186,3093543,3000928,1.71,l,0.2741533819305704,12,25,48.324,-123.43166666666667,28.25,1554698948.1599998,0.56,,,1.25,73,1,30,7,16,n,n
61516241,3093548,3000938,1.03,l,0.2080525638472367,8,12,46.432833333333335,-122.2875,3.44,1554757585.3499985,0.97,,,1.48,208,1,15,7,7,n,n
61724577,3158948,3103123,1.5,l,0.18662832877885138,16,30,45.438833333333335,-122.77233333333334,20.83,1621471875.4199982,0.26,,,0.52,59,1,39,17,11,n,n
61963976,3242878,3234288,1.55,l,0.0542536329378861,2,4,42.950833333333335,-122.1125,4.5,1696436480.25,1.76,,,0.74,174,0.75,6,3,3,n,n
61517187,3093593,3001028,1.28,l,0.22592774284676342,8,13,47.510666666666665,-122.31016666666666,25.62,1555038276.5900002,0.3,,,0.82,73,1,30,12,13,n,n
61517212,3093618,3001058,0.75,l,0.11568452288429637,5,6,46.442166666666665,-122.4085,17.02,1555053282.8999996,0.62,,,1.09,100,1,14,4,6,n,n
61517217,3093643,3001108,2.0300000000000002,l,0.19646270536677823,14,30,48.599,-123.057,14.48,1555054534.73,0.41,,,0.66,84,1,30,7,16,n,n
61516781,3135103,3066013,1.08,l,0.034275019548712926,4,4,47.412,-122.33233333333334,23.71,1554920975.7600002,0.85,,,1.1,68,1,19,9,9,n,n
61604027,3124953,3050738,0.85,l,0.2418610723817488,6,9,46.54416666666667,-122.46133333333333,7.84,1587755206.2299995,0.55,,,0.84,113,1,16,0,4,n,n
61604242,3125038,3050888,0.34,l,0.22471208665633344,4,6,46.38916666666667,-122.252,7.01,1587778209.6499977,0.84,,,1.15,199,1,12,4,4,n,n
61533766,3134833,3065483,1.6,l,0.10737192341401092,25,45,47.1225,-122.7135,24.66,1562512313.7600002,0.23,,,0.58,36,1,53,16,28,n,n
61958162,3245618,3238988,0.84,l,0.15827505239059092,5,13,48.67216666666667,-123.2375,19.03,1697810644.5200005,1.41,,,1.33,163,0.75,20,8,3,n,n
61536042,3101078,3013373,0.9,l,0.09510339080749847,7,14,46.23,-123.18133333333333,25.93,1563123587.7700005,0.53,,,1.07,122,1,17,7,5,n,n
61963986,3242853,3234238,1.71,l,0.18095783537144539,20,48,47.63966666666666,-122.48416666666667,31.31,1696438429.9300003,0.46,,,0.87,66,1,48,15,22,n,n
61623121,3126418,3052843,0.53,l,0.1116602611796309,4,6,46.303666666666665,-122.35433333333333,15.37,1588984898.5,0.65,,,0.66,260,1,9,4,3,n,n
61964006,3242868,3234268,1.29,l,0.1665016390704388,5,13,47.53366666666667,-122.597,30.63,1696440950.4899998,2.23,,,2.7,207,0.5,18,9,6,n,n
61517451,3093728,3001188,1.3800000000000001,l,0.13298322222154868,5,10,48.6035,-123.11683333333333,11.92,1555207069.2699986,0.51,,,1.39,78,1,23,10,8,n,n
61517586,3093768,3001263,1.37,l,0.1953064149525745,10,15,48.42766666666667,-122.46066666666667,12.01,1555375556.7699986,0.65,,,4.66,98,0.5,25,6,9,n,n
61604372,3125088,3050963,1.29,l,0.21780038970020232,12,14,45.57116666666667,-122.467,7.35,1587817333.1599998,0.36,,,0.51,69,1,29,11,5,n,n
61517591,3093773,3001273,0.46,l,0.026542792433305595,3,4,46.0485,-122.15783333333333,8.03,1555382291.7700005,0.93,,,1.07,235,1,14,7,1,n,n
61623566,3126803,3053433,1.6400000000000001,l,0.15856177606059818,9,20,47.30083333333334,-122.9255,25.13,1589064853.2599983,0.31,,,0.91,50,1,36,15,9,n,n
61518422,3093928,3001528,1.27,l,0.07131941274537512,10,13,45.945166666666665,-122.59883333333333,11.81,1555671672.6499977,0.35,,,1.05,86,1,21,5,8,n,n
61518437,3093933,3001538,1.24,l,0.17415528469157682,8,14,44.129666666666665,-122.9025,10.78,1555676178.8199997,0.43,,,1.13,101,1,20,9,7,n,n
61518062,3093808,3001323,1.1,l,0.06515195327241707,3,4,45.6495,-122.73016666666666,16,1555487992.0599995,0.51,,,1.13,166,1,14,7,5,n,n
